ProbeR	  Phi_acc
4.260	  79.5562363000
4.270	  79.4945374000
4.280	  79.4866562000
4.290	  79.4771576000
4.300	  79.4860458000
4.310	  79.4564285000
4.320	  79.4040222000
4.330	  79.3716049000
4.340	  79.3939972000
4.350	  79.3882751000
4.360	  79.3365326000
4.370	  79.2950974000
4.380	  79.2551880000
4.390	  79.2446899000
4.400	  79.2312698000
4.410	  79.1675415000
4.420	  79.1850891000
4.430	  79.1422653000
4.440	  79.0923538000
4.450	  79.0418243000
4.460	  79.0302963000
4.470	  79.0443268000
4.480	  79.0099945000
4.490	  78.9310608000
4.500	  78.9283066000
4.510	  78.9214935000
4.520	  78.9178085000
4.530	  78.8362350000
4.540	  78.8221664000
4.550	  78.8039322000
4.560	  78.7347946000
4.570	  78.7319794000
4.580	  78.7308884000
4.590	  78.6459274000
4.600	  78.6323166000
4.610	  78.6134796000
4.620	  78.5817947000
4.630	  78.5615158000
4.640	  78.5644073000
4.650	  78.4962158000
4.660	  78.4345856000
4.670	  78.4346008000
4.680	  78.4100723000
4.690	  78.4084167000
4.700	  78.3767395000
4.710	  78.3689423000
4.720	  78.3150711000
4.730	  78.2693024000
4.740	  78.2775726000
4.750	  78.2924652000
4.760	  78.2608871000
4.770	  78.1870880000
4.780	  78.1384964000
4.790	  78.1355362000
4.800	  78.1362915000
4.810	  78.1073608000
4.820	  78.0634766000
4.830	  78.0454865000
4.840	  77.9794006000
4.850	  77.9670334000
4.860	  77.9654999000
4.870	  77.9483109000
4.880	  77.8784409000
4.890	  77.8803329000
4.900	  77.8311081000
4.910	  77.8341370000
4.920	  77.8220596000
4.930	  77.8034058000
4.940	  77.7513809000
4.950	  77.6987457000
4.960	  77.6805115000
4.970	  77.6799622000
4.980	  77.7116013000
4.990	  77.6566467000
5.000	  77.6027756000
5.010	  77.5705948000
5.020	  77.5398560000
5.030	  77.5380096000
5.040	  77.5562973000
5.050	  77.5099258000
5.060	  77.4869919000
5.070	  77.4389877000
5.080	  77.4217758000
5.090	  77.4055634000
5.100	  77.3390121000
5.110	  77.3574142000
5.120	  77.3470306000
5.130	  77.3332672000
5.140	  77.2552872000
5.150	  77.2194061000
5.160	  77.2351761000
5.170	  77.2382050000
5.180	  77.2154846000
5.190	  77.1262207000
5.200	  77.0885849000
5.210	  77.0869751000
5.220	  77.0953217000
5.230	  77.0894318000
5.240	  77.0187531000
5.250	  76.9886551000
5.260	  76.9574051000
5.270	  76.9474411000
5.280	  76.9075546000
5.290	  76.8863907000
5.300	  76.8842545000
5.310	  76.8266830000
5.320	  76.8230820000
5.330	  76.7577057000
5.340	  76.7370529000
5.350	  76.7311249000
5.360	  76.7123871000
5.370	  76.7049332000
5.380	  76.6277161000
5.390	  76.5980377000
5.400	  76.6144867000
5.410	  76.5901794000
5.420	  76.5600433000
5.430	  76.5032196000
5.440	  76.4336090000
5.450	  76.4580460000
5.460	  76.4480133000
5.470	  76.4477997000
5.480	  76.4094849000
5.490	  76.3187790000
5.500	  76.3216782000
5.510	  76.3158875000
5.520	  76.2866516000
5.530	  76.2658539000
5.540	  76.1712952000
5.550	  76.1676331000
5.560	  76.1839828000
5.570	  76.1632996000
5.580	  76.1363144000
5.590	  76.0167542000
5.600	  76.0220795000
5.610	  76.0142746000
5.620	  76.0161972000
5.630	  75.9916458000
5.640	  75.9076385000
5.650	  75.8838425000
5.660	  75.8662949000
5.670	  75.8532791000
5.680	  75.7793579000
5.690	  75.7542267000
5.700	  75.7593994000
5.710	  75.6953049000
5.720	  75.6311722000
5.730	  75.5929642000
5.740	  75.5954132000
5.750	  75.6086273000
5.760	  75.6140366000
5.770	  75.4968796000
5.780	  75.4254303000
5.790	  75.4176712000
5.800	  75.4002914000
5.810	  75.3490601000
5.820	  75.3463593000
5.830	  75.2768326000
5.840	  75.2707672000
5.850	  75.2845383000
5.860	  75.1926498000
5.870	  75.1534042000
5.880	  75.1333618000
5.890	  75.1208801000
5.900	  75.0991669000
5.910	  74.9935837000
5.920	  75.0095749000
5.930	  74.9942856000
5.940	  74.9940948000
5.950	  74.9610596000
5.960	  74.8641357000
5.970	  74.8296585000
5.980	  74.7743454000
5.990	  74.6839066000
6.000	  74.6321106000
6.010	  74.5466614000
6.020	  74.5195236000
6.030	  74.5441818000
6.040	  74.4690018000
6.050	  74.4297638000
6.060	  74.3039398000
6.070	  74.2319489000
6.080	  74.1848831000
6.090	  74.1262512000
6.100	  74.1404648000
6.110	  74.0106964000
6.120	  73.9941101000
6.130	  73.9796448000
6.140	  73.9423752000
6.150	  73.8838043000
6.160	  73.8129807000
6.170	  73.7372208000
6.180	  73.3458176000
6.190	  73.2908020000
6.200	  73.2874298000
6.210	  73.2486877000
6.220	  73.1445847000
6.230	  73.0455017000
6.240	  73.0381393000
6.250	  73.0380783000
6.260	  73.0197449000
6.270	  72.8939362000
6.280	  72.8170547000
6.290	  72.6280823000
6.300	  71.3385239000
6.310	  71.2222061000
6.320	  71.1915131000
6.330	  71.1764832000
6.340	  71.1242599000
6.350	  71.0029526000
6.360	  71.0011749000
6.370	  70.9411926000
6.380	  70.8326797000
6.390	  70.7426147000
6.400	  70.6995926000
6.410	  70.7269592000
6.420	  70.6713181000
6.430	  70.7023087000
6.440	  70.5246582000
6.450	  70.4857635000
6.460	  70.4203644000
6.470	  70.3790054000
6.480	  70.3602448000
6.490	  70.2727814000
6.500	  70.1968460000
6.510	  70.2087402000
6.520	  68.7186432000
6.530	  68.7396774000
6.540	  66.1380081000
6.550	  66.1297989000
6.560	  66.0939941000
6.570	  66.0914993000
6.580	  65.9121170000
6.590	  65.8901672000
6.600	  65.8149109000
6.610	  65.8118668000
6.620	  65.7922058000
6.630	  65.6633606000
6.640	  65.6462326000
6.650	  65.5982590000
6.660	  65.5653152000
6.670	  65.4905548000
6.680	  65.4842300000
6.690	  65.3980942000
6.700	  65.2950974000
6.710	  65.2469482000
6.720	  65.2500534000
6.730	  65.1884537000
6.740	  65.1867752000
6.750	  65.0720215000
6.760	  64.9682312000
6.770	  64.9477158000
6.780	  64.9233551000
6.790	  64.8960876000
6.800	  64.7195129000
6.810	  64.6947708000
6.820	  64.7313538000
6.830	  64.6364746000
6.840	  64.5796738000
6.850	  64.4568710000
6.860	  64.4540024000
6.870	  64.4723740000
6.880	  64.4139252000
6.890	  64.3339310000
6.900	  64.2832108000
6.910	  64.2639618000
6.920	  64.2005005000
6.930	  64.0997314000
6.940	  64.1479263000
6.950	  64.0555496000
6.960	  64.0652466000
6.970	  63.8839378000
6.980	  63.8557434000
6.990	  63.8683319000
7.000	  63.8285866000
7.010	  63.7751808000
7.020	  63.6868286000
7.030	  63.5881729000
7.040	  63.5901566000
7.050	  63.5745697000
7.060	  63.4933128000
7.070	  63.5267906000
7.080	  63.4771233000
7.090	  63.3549614000
7.100	  63.3539734000
7.110	  63.2183304000
7.120	  63.2499046000
7.130	  63.1982613000
7.140	  63.1318626000
7.150	  63.0894547000
7.160	  62.9913635000
7.170	  63.0105247000
7.180	  63.0096970000
7.190	  62.9194794000
7.200	  62.8001442000
7.210	  62.7658920000
7.220	  62.7377701000
7.230	  62.7626648000
7.240	  62.7452087000
7.250	  62.6419830000
7.260	  62.5466652000
7.270	  62.5327415000
7.280	  62.4992027000
7.290	  62.4967117000
7.300	  62.4862785000
7.310	  62.4270020000
7.320	  62.3888016000
7.330	  62.2903099000
7.340	  62.2901382000
7.350	  62.2817574000
7.360	  62.1728020000
7.370	  62.1328812000
7.380	  62.1611481000
7.390	  62.1044388000
7.400	  62.0798302000
7.410	  61.9835205000
7.420	  61.9594345000
7.430	  61.9017944000
7.440	  61.8036690000
7.450	  61.8544388000
7.460	  61.7410583000
7.470	  61.7508888000
7.480	  61.7777061000
7.490	  58.2707748000
7.500	  58.2555008000
7.510	  58.2818260000
7.520	  58.1600075000
7.530	  58.1269188000
7.540	  54.6860580000
7.550	  54.6951942000
7.560	  54.6813545000
7.570	  54.5987854000
7.580	  54.4619560000
7.590	  54.5008316000
7.600	  54.4893341000
7.610	  54.5027504000
7.620	  54.5038757000
7.630	  54.4193268000
7.640	  54.3197174000
7.650	  54.3062630000
7.660	  54.3040504000
7.670	  54.2931213000
7.680	  54.1825790000
7.690	  54.2007790000
7.700	  54.1572380000
7.710	  54.1444054000
7.720	  54.1537094000
7.730	  54.0484428000
7.740	  53.9964142000
7.750	  53.9536247000
7.760	  53.9394608000
7.770	  53.9362679000
7.780	  53.9310684000
7.790	  53.8979645000
7.800	  53.8647118000
7.810	  53.8433304000
7.820	  53.8204536000
7.830	  53.7513962000
7.840	  53.6880569000
7.850	  53.6445198000
7.860	  53.6553688000
7.870	  53.6716995000
7.880	  53.5913048000
7.890	  53.5474548000
7.900	  53.4926529000
7.910	  53.4771500000
7.920	  53.4483795000
7.930	  53.4328575000
7.940	  53.4031334000
7.950	  53.3852463000
7.960	  53.3360558000
7.970	  53.2851639000
7.980	  53.2636528000
7.990	  53.2225838000
8.000	  53.2453880000
8.010	  53.2467613000
8.020	  53.1494446000
8.030	  53.1184692000
8.040	  53.1165237000
8.050	  53.0566444000
8.060	  53.0432472000
8.070	  53.0258713000
8.080	  52.9450417000
8.090	  52.9171295000
8.100	  52.8933334000
8.110	  52.9009171000
8.120	  52.9023361000
8.130	  52.8760796000
8.140	  52.7808418000
8.150	  52.7236862000
8.160	  52.7172318000
8.170	  52.7186089000
8.180	  52.7055740000
8.190	  52.7179489000
8.200	  52.6277733000
8.210	  52.5553207000
