ProbeR	  Phi_acc
5.610	  23.0494881000
5.620	  23.0235481000
5.630	  22.9569187000
5.640	  22.9294529000
5.650	  22.8928318000
5.660	  22.9401340000
5.670	  22.9709911000
5.680	  22.8029747000
5.690	  22.8718090000
5.700	  22.7712708000
5.710	  22.7348194000
5.720	  22.8292542000
5.730	  22.8226414000
5.740	  22.7176952000
5.750	  22.7446518000
5.760	  22.7768650000
5.770	  22.8200989000
5.780	  22.6603050000
5.790	  22.6754780000
5.800	  22.6544552000
5.810	  22.5629025000
5.820	  22.5418797000
5.830	  22.6486912000
5.840	  22.6169014000
5.850	  22.5936756000
5.860	  22.4927120000
5.870	  22.5327244000
5.880	  22.5800266000
5.890	  22.5012741000
5.900	  22.4926281000
5.910	  22.3183384000
5.920	  22.3464832000
5.930	  22.3777637000
5.940	  22.4845753000
5.950	  22.4083652000
5.960	  22.3105392000
5.970	  22.4037876000
5.980	  22.4224377000
5.990	  22.4899158000
6.000	  22.3653011000
6.010	  22.1255684000
6.020	  22.1255131000
6.030	  22.2061024000
6.040	  22.2183094000
6.050	  22.1447277000
6.060	  22.0660591000
6.070	  22.1323509000
6.080	  22.1094055000
6.090	  22.1449547000
6.100	  21.8950481000
6.110	  21.9133587000
6.120	  21.8697300000
6.130	  21.9604359000
6.140	  21.9063511000
6.150	  22.0175705000
6.160	  21.9188976000
6.170	  21.9834919000
6.180	  21.9885235000
6.190	  21.9847374000
6.200	  21.7109547000
6.210	  21.8144588000
6.220	  21.7723560000
6.230	  21.5559654000
6.240	  21.6407356000
6.250	  21.7394085000
6.260	  21.8404560000
6.270	  21.6826973000
6.280	  20.8463459000
6.290	  20.9682465000
6.300	  21.0594597000
6.310	  21.1703396000
6.320	  21.2693520000
6.330	  21.3714180000
6.340	  21.4558506000
6.350	  21.5602875000
6.360	  21.6632271000
6.370	  21.7802124000
6.380	   0.0000000000
6.390	   0.0000000000
6.400	   0.0000000000
6.410	   0.0000000000
6.420	   0.0000000000
6.430	   0.0000000000
6.440	   0.0000000000
6.450	   0.0000000000
6.460	   0.0000000000
6.470	   0.0000000000
6.480	   0.0000000000
6.490	   0.0000000000
6.500	   0.0000000000
6.510	   0.0000000000
6.520	   0.0000000000
6.530	   0.0000000000
6.540	   0.0000000000
6.550	   0.0000000000
6.560	   0.0000000000
6.570	   0.0000000000
6.580	   0.0000000000
6.590	   0.0000000000
6.600	   0.0000000000
