ProbeR	  Phi_acc
3.7800	  70.6005325000
3.7900	  70.4868011000
3.8000	  70.5007553000
3.8100	  70.4708710000
3.8200	  70.5360031000
3.8300	  70.4754562000
3.8400	  70.4887161000
3.8500	  70.4696503000
3.8600	  70.2997589000
3.8700	  70.2962418000
3.8800	  70.3260117000
3.8900	  70.3883743000
3.9000	  70.2420197000
3.9200	  70.1092682000
3.9300	  70.0801392000
3.9400	  70.0573654000
3.9500	  69.8920212000
3.9600	  70.0195160000
3.9700	  69.9731064000
3.9800	  69.9426880000
3.9900	  69.8728256000
4.0000	  69.8243103000
4.0100	  69.8304443000
4.0200	  69.7026978000
4.0300	  69.6795273000
4.0400	  69.7257690000
4.0500	  69.6296921000
4.0600	  69.5929794000
4.0700	  69.5246429000
4.0800	  69.5565796000
4.0900	  69.4282150000
4.1000	  69.5021591000
4.1100	  69.4734573000
4.1200	  69.3863602000
4.1300	  69.4165115000
4.1400	  69.3153610000
4.1500	  69.2053680000
4.1600	  69.2140427000
4.1700	  69.2576523000
4.1800	  69.1273956000
4.1900	  69.1360245000
4.2000	  69.1343689000
4.2100	  69.0015488000
4.2200	  69.0220261000
4.2300	  69.0207520000
4.2400	  68.9310989000
4.2500	  68.9234314000
4.2600	  68.9462814000
4.2700	  68.9250870000
4.2800	  68.7554550000
4.2900	  68.7791138000
4.3000	  68.7926483000
4.3100	  68.7424393000
4.3200	  68.6372757000
4.3300	  68.6452179000
4.3400	  68.6267471000
4.3500	  68.4971390000
4.3600	  68.4964828000
4.3700	  68.4675369000
4.3800	  68.5047302000
4.3900	  68.4138412000
4.4000	  68.3798828000
4.4100	  68.3769455000
4.4200	  68.2927856000
4.4300	  68.2780380000
4.4400	  68.1619720000
4.4500	  68.1387405000
4.4600	  68.1914062000
4.4700	  68.1045685000
4.4800	  68.1709824000
4.4900	  68.0074615000
4.5000	  68.0194550000
4.5100	  67.8926468000
4.5200	  67.8704758000
4.5300	  67.9471817000
4.5400	  67.8899384000
4.5500	  67.7251434000
4.5600	  67.7485962000
4.5700	  67.7867889000
4.5800	  67.6691666000
4.5900	  67.6084061000
4.6000	  67.6123428000
4.6100	  67.6657333000
4.6200	  67.5480804000
4.6300	  67.5808258000
4.6400	  67.4585724000
4.6500	  67.2996674000
4.6600	  67.3359604000
4.6700	  67.3740234000
4.6800	  67.3717957000
4.6900	  67.2970200000
4.7000	  67.2281647000
4.7100	  67.1964951000
4.7200	  67.1405640000
4.7300	  67.1747589000
4.7400	  67.0914917000
4.7500	  67.0748138000
4.7600	  67.0676651000
4.7700	  66.9795303000
4.7800	  66.8988266000
4.7900	  66.8508606000
4.8000	  66.9461441000
4.8100	  66.8085861000
4.8200	  66.8300705000
4.8300	  66.8795929000
4.8400	  66.7826157000
4.8500	  66.7041626000
4.8600	  66.6560516000
4.8700	  66.6753540000
4.8800	  66.6808167000
4.8900	  66.5893707000
4.9000	  66.6391983000
4.9100	  66.5813217000
4.9200	  66.4600677000
4.9300	  66.3856430000
4.9400	  66.4548492000
4.9500	  66.3421707000
4.9600	  66.3177567000
4.9700	  66.3951492000
4.9800	  66.2904358000
4.9900	  66.1755753000
5.0000	  66.1920166000
5.0100	  66.1515732000
5.0200	  66.0850601000
5.0300	  66.0999146000
5.0400	  66.0926590000
