ProbeR	  Phi_acc
4.770	  37.9486160000
4.780	  37.5693130000
4.790	  37.1819000000
4.800	  36.7263451000
4.810	  36.5467300000
4.820	  36.3534813000
4.830	  35.7609749000
4.840	  35.5595894000
4.850	  35.2540512000
4.860	  34.5206375000
4.870	  27.0395927000
4.880	  27.0329952000
4.890	  26.6226196000
4.900	  18.6717892000
4.910	  18.5938721000
4.920	  18.6541939000
4.930	  18.4394531000
4.940	  18.0080585000
4.950	  18.0887699000
4.960	  18.0070839000
4.970	   8.9486875500
4.980	   8.9973220800
4.990	   0.0000000000
5.000	   0.0000000000
5.010	   0.0000000000
5.020	   0.0000000000
5.030	   0.0000000000
5.040	   0.0000000000
5.050	   0.0000000000
5.060	   0.0000000000
5.070	   0.0000000000
5.080	   0.0000000000
5.090	   0.0000000000
5.100	   0.0000000000
5.110	   0.0000000000
5.120	   0.0000000000
5.130	   0.0000000000
5.140	   0.0000000000
5.150	   0.0000000000
