ProbeR	  Phi_acc
2.1900	  65.0319595000
2.2000	  64.8400650000
2.2100	  64.7708664000
2.2200	  64.7856445000
2.2300	  64.7777176000
2.2400	  64.5308151000
2.2500	  64.4537048000
2.2600	  64.6319199000
2.2700	  64.5200882000
2.2800	  64.5905457000
2.2900	  64.5776215000
2.3000	  64.3694611000
2.3100	  64.2834396000
2.3200	  64.3295670000
2.3400	  64.1051941000
2.3500	  63.9254684000
2.3600	  63.9825821000
2.3700	  63.9962540000
2.3800	  64.0266724000
2.3900	  63.9897957000
2.4000	  63.8858147000
2.4100	  63.6997757000
2.4200	  63.6997757000
2.4300	  63.5299873000
2.4400	  63.7072678000
2.4500	  63.5403633000
2.4600	  63.6859169000
2.4700	  63.3974724000
2.4800	  63.4023666000
2.4900	  63.3146286000
2.5000	  63.2954788000
2.5100	  63.2042885000
2.5200	  63.1860428000
2.5300	  63.2234344000
2.5400	  63.1885948000
2.5500	  63.0521660000
2.5600	  62.9379463000
2.5700	  62.9246216000
2.5800	  62.9554291000
2.5900	  62.9511642000
2.6000	  62.9700661000
2.6100	  62.5713577000
2.6200	  62.5814323000
2.6300	  62.4551964000
2.6400	  62.5405426000
2.6500	  62.4613647000
2.6600	  62.5422058000
2.6700	  62.5742836000
2.6800	  62.3932076000
2.6900	  62.3573074000
2.7000	  62.2709999000
2.7100	  62.3103447000
2.7200	  58.4587936000
2.7300	  58.3529472000
2.7400	  58.3573761000
2.7500	  58.2602310000
2.7600	  58.3076782000
2.7700	  58.1293030000
2.7800	  58.1711044000
2.7900	  58.1172752000
2.8000	  58.0698471000
2.8100	  58.1139221000
2.8200	  58.0631981000
2.8300	  57.9943542000
2.8400	  57.8889084000
2.8500	  57.7708473000
2.8600	  57.7905846000
2.8700	  57.7779350000
2.8800	  57.8472443000
2.8900	  57.8122330000
2.9000	  57.7634392000
2.9100	  57.6608238000
2.9200	  57.6248360000
2.9300	  57.5779037000
2.9400	  57.5592499000
2.9500	  57.4956474000
2.9600	  57.6202316000
2.9700	  57.5869141000
2.9800	  57.4871140000
2.9900	  57.3454323000
3.0000	  57.3580666000
3.0100	  57.2604408000
3.0200	  57.2543221000
3.0300	  57.3097649000
3.0400	  57.1951752000
3.0500	  57.2147560000
3.0600	  57.1189003000
3.0700	  57.2128716000
3.0800	  57.1199875000
3.0900	  57.1069641000
3.1000	  57.0101814000
3.1100	  56.9604797000
3.1200	  57.0377808000
3.1300	  57.0519524000
3.1400	  56.9461212000
3.1500	  56.9169807000
3.1600	  56.9418793000
3.1700	  56.9023323000
3.1800	  56.6688194000
3.1900	  56.6604614000
3.2000	  56.6415977000
3.2100	  56.7158165000
3.2200	  56.7873306000
3.2300	  56.6595917000
3.2400	  56.7087288000
3.2500	  56.5288658000
3.2600	  56.4931526000
3.2700	  56.5706367000
3.2800	  56.4540215000
3.2900	  56.4873390000
3.3000	  56.5506821000
3.3100	  56.5129204000
3.3200	  56.5197296000
3.3300	  56.1989899000
3.3400	  56.1032791000
3.3500	  55.9230690000
3.3600	  56.0201340000
3.3700	  56.0465202000
3.3800	  56.0409241000
3.3900	  56.0697365000
3.4000	  55.8191071000
3.4100	  55.7483025000
3.4200	  55.7762260000
3.4300	  55.6910210000
3.4400	  55.6541557000
3.4500	  55.7171898000
3.4600	  55.7501068000
3.4700	  55.5158806000
3.4800	  55.5607605000
3.4900	  55.4725227000
3.5000	  55.3854523000
3.5100	  55.2206764000
3.5200	  55.4251556000
3.5300	  55.3785973000
3.5400	  55.3120193000
3.5500	  55.0829277000
3.5600	  55.1760750000
3.5700	  55.0896416000
3.5800	  55.1323280000
3.5900	  54.9578438000
3.6000	  55.0363083000
3.6100	  55.1523285000
3.6200	  54.7095833000
3.6300	  54.7960205000
3.6400	  54.8802185000
3.6500	  54.8742523000
3.6600	  54.9013863000
3.6700	  54.8249893000
3.6800	  54.6810036000
3.6900	  54.7704086000
3.7000	  54.5243149000
3.7100	  54.5772743000
3.7200	  54.2817879000
3.7300	  54.3481750000
3.7400	  54.4026299000
3.7500	  54.5187340000
3.7600	  54.5862732000
3.7700	  54.4951248000
3.7800	  54.1924286000
3.7900	  54.1076889000
3.8000	  54.0425301000
3.8100	  54.1884537000
3.8200	  54.2669640000
3.8300	  54.1011353000
