ProbeR	  Phi_acc
1.3200	  52.1225166000
1.3300	  51.6466064000
1.3400	  51.4731827000
1.3500	  51.2458572000
1.3600	  51.0021667000
1.3700	  51.0678215000
1.3800	  51.0766678000
1.3900	  50.7672424000
1.4000	  50.7713432000
1.4100	  50.5870514000
1.4200	  50.5907364000
1.4300	  50.4840660000
1.4400	  50.4241600000
1.4500	  50.1734810000
1.4600	  50.1030312000
1.4700	  50.1034088000
1.4800	  49.9869461000
1.4900	  50.0200043000
1.5000	  49.8098297000
1.5100	  49.6942139000
1.5200	  49.6493645000
1.5300	  49.6765442000
1.5400	  49.4822273000
1.5500	  49.3997841000
1.5600	  49.1159096000
1.5700	  49.2190018000
1.5800	  49.1222649000
1.5900	  49.1701889000
1.6000	  49.0742455000
1.6100	  48.8896561000
1.6200	  48.8569756000
1.6300	  48.6907730000
1.6400	  48.6698380000
1.6500	  48.7212143000
1.6600	  48.5824699000
1.6700	  48.4133759000
1.6800	  48.4467583000
1.6900	  48.2598991000
1.7000	  48.3142128000
1.7100	  48.1028328000
1.7200	  48.1349068000
1.7300	  48.0586357000
1.7400	  48.0893593000
1.7500	  47.9721069000
1.7600	  47.7583961000
1.7700	  47.6905174000
1.7800	  47.6730804000
1.7900	  47.3064041000
1.8000	  47.3894844000
1.8100	  47.3186684000
1.8200	  47.0574036000
1.8300	  46.9103584000
1.8400	  47.0263023000
1.8500	  46.9765129000
1.8600	  46.6999130000
1.8700	  46.7142220000
1.8800	  46.5328979000
1.8900	  46.4265251000
1.9000	  46.5288582000
1.9100	  46.3232574000
1.9200	  46.1772423000
1.9300	  46.0332108000
1.9400	  46.0221634000
1.9500	  45.9723740000
1.9600	  45.0561447000
1.9700	  45.0552597000
1.9800	  44.9459152000
1.9900	  44.6872177000
2.0000	  44.5512695000
2.0100	  44.3867874000
2.0200	  44.3728027000
2.0300	  43.9976425000
2.0400	  44.0260811000
2.0500	  44.1575546000
2.0600	  43.9196320000
2.0700	  43.5361252000
2.0800	  43.4774323000
2.0900	  43.4254150000
2.1000	  43.4529076000
2.1100	  42.9802628000
2.1200	  43.0070686000
2.1300	  42.9520569000
2.1400	  42.8682327000
2.1500	  42.7233353000
2.1600	  42.9782104000
2.1700	  41.4117889000
2.1800	  41.4670334000
2.1900	  41.2005959000
2.2000	  41.1950455000
2.2100	  41.0028763000
2.2200	  41.1325760000
2.2300	  41.0810127000
2.2400	  40.3317947000
2.2500	  40.0847054000
2.2600	  40.1975288000
2.2700	  39.8670311000
2.2800	  40.0507812000
2.2900	  39.8682404000
2.3000	  39.7583084000
2.3100	  39.6255798000
2.3200	  39.2322388000
2.3300	  39.2877655000
2.3400	  39.1858025000
2.3500	  39.0740051000
2.3600	  38.9960098000
2.3700	  38.9028130000
2.3800	  38.7572136000
2.3900	  38.7486382000
2.4000	  38.5094719000
2.4100	  38.5169296000
2.4200	  38.4084892000
2.4300	  38.3654099000
2.4400	  38.1919365000
2.4500	  38.0072212000
2.4600	  37.8811913000
2.4700	  37.9158287000
2.4800	  38.0011635000
2.4900	  38.0062904000
2.5000	  37.7518311000
2.5100	  37.5499153000
2.5200	  37.4987411000
2.5300	  37.2097359000
2.5400	  37.2862740000
2.5500	  37.2595596000
2.5700	  37.4452515000
2.5800	  37.1711502000
2.5900	  37.1833954000
2.6000	  36.9129944000
2.6100	  36.8375435000
2.6200	  36.5862885000
2.6300	  36.6096458000
2.6400	  36.5720673000
2.6500	  36.4090843000
2.6600	  36.5074081000
2.6700	  36.4964485000
2.6800	  36.5534210000
2.6900	  36.3442345000
2.7000	  36.2700577000
2.7100	  36.2638130000
2.7200	  35.9375572000
2.7300	  35.7829590000
2.7400	  35.7796059000
2.7500	  35.7470169000
2.7600	  35.8455734000
2.7700	  35.8531265000
2.7800	  35.8407211000
2.7900	  35.5703239000
2.8000	  35.6209068000
2.8100	  35.6242638000
2.8200	  35.4483604000
2.8300	  35.2992973000
